"","Site","Sat","LINEAGEQA","PIXELQA","RADSATQA","SRAEROSOLQA","SRATMOSOPACITYQA","SRB1","SRB2","SRB3","SRB4","SRB5","SRB6","SRB7","SRCLOUDQA","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"142","S2",7,2,68,0,NA,8,212.333333333333,232,172,153,120,NA,51.3333333333333,32,2010-11-09,12.55713126,NA,2010-11-08,1
"143","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2010-12-11,6.125339941,NA,2010-12-07,4
"144","S2",8,2,324,0,68,NA,99.6666666666667,187.666666666667,118,91.6666666666667,90.3333333333333,90.3333333333333,78.6666666666667,NA,2017-03-09,7.3125,1.8,2017-03-07,2
"145","S2",8,2,324,0,100,NA,384.666666666667,438.666666666667,354,379,364,364,306.666666666667,NA,2017-04-03,5.49,2.34,2017-04-04,1
"146","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-05-04,4.27,4.1,2017-05-03,1
"147","S2",7,2,68,0,NA,8,313,412.5,306,274,214.5,NA,148,24,2017-06-05,14.695,4.34,2017-06-02,3
"148","S2",8,2,342.666666666667,0,68,NA,690.666666666667,849.333333333333,781.666666666667,740,733.333333333333,733.333333333333,576.666666666667,NA,2017-07-15,21.88,4.816666667,2017-07-15,0
"149","S2",7,2,224,10,NA,85,20000,3762,20000,4651,4323,NA,3928,11.3333333333333,2017-08-01,44.28333333,5.833333333,2017-08-04,3
"150","S2",7,2,68,0,NA,27.6666666666667,468.333333333333,490.666666666667,413.666666666667,389.666666666667,240.333333333333,NA,188,40,2017-09-02,33.98,5.6,2017-09-05,3
"151","S2",7,2,68,0,NA,8,302,306.333333333333,239.666666666667,237,124.666666666667,NA,123,40,2017-10-04,24.39,4.2,2017-10-04,0
"152","S2",8,2,352,0,80,NA,645.333333333333,907,884.333333333333,1068.33333333333,1546.33333333333,1546.33333333333,1290.66666666667,NA,2017-11-13,18.59375,2.057692308,2017-11-16,3
"153","S2",8,2,324,0,68,NA,259,236.333333333333,155,95,88.3333333333333,88.3333333333333,81.6666666666667,NA,2017-12-15,2.715,1.6,2017-12-15,0
"154","S2",8,2,324,0,89.3333333333333,NA,213,301.666666666667,272.666666666667,334,373.666666666667,373.666666666667,322,NA,2018-01-07,4.4755,1.133333333,2018-01-04,3
"155","S2",8,2,324,0,68,NA,135.333333333333,195.333333333333,129,107.333333333333,124.333333333333,124.333333333333,100.333333333333,NA,2018-02-24,1.790666667,3,2018-02-21,3
"156","S5",8,2,324,0,68,NA,33.5,99.5,46.5,29.5,36,36,29,NA,2017-03-09,7.1125,2.02,2017-03-07,2
"157","S5",8,2,324,0,68,NA,369,362.5,283,284.5,218,218,181,NA,2017-04-03,6.015,2.2,2017-04-04,1
"158","S5",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-05-04,4.27,3.24,2017-05-03,1
"159","S5",7,2,68,0,NA,8,415,525.5,423,376,339,NA,244,36,2017-06-05,13.38,3.9,2017-06-02,3
"160","S5",8,2,480,0,8,NA,791,961,901.5,865.5,801.5,801.5,652,NA,2017-07-15,22.405,3.5,2017-07-15,0
"161","S5",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-08-01,36.525,5.283333333,2017-08-04,3
"162","S5",7,2,68,0,NA,28,451,452,372,307.5,121,NA,80.5,40,2017-09-02,30.465,5.983333333,2017-09-05,3
"163","S5",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-10-04,25.65,2.9,2017-10-04,0
"164","S5",8,2,448,0,44,NA,899,910,989,1369.5,1182,1182,1050.5,NA,2017-11-13,20.134375,2.923076923,2017-11-16,3
"165","S5",8,2,324,0,68,NA,240.5,205.5,134,71,46.5,46.5,31.5,NA,2017-12-15,2.967,1.583333333,2017-12-15,0
"166","S5",8,2,324,0,100,NA,159.5,246.5,225,271.5,327.5,327.5,279.5,NA,2018-01-07,3.462,1.266666667,2018-01-04,3
"167","S5",8,2,324,0,68,NA,89,131.5,70.5,49.5,56.5,56.5,39,NA,2018-02-24,1.700333333,1.566666667,2018-02-21,3
